id,email,tags,profiles.facebook.id,profiles.facebook.picture,profiles.twitter.id,profiles.twitter.picture
0,colleengriffith@quintity.com,"consectetur,quis",,,,
1,maryellengriffin@ginkle.com,"veniam,elit,mollit",,,,
2,hesterherman@exozent.com,"consectetur,et,irure",,,,
3,romeromarks@exovent.com,"sint,laboris,ad",,,,
4,marlamartin@stucco.com,"id,voluptate",,,,
5,weekschase@maxemia.com,"ullamco,consequat,do",,,,
6,grahamrichardson@marketoid.com,"fugiat,sint,voluptate",,,,
7,mendozavalentine@entality.com,"nulla,sint",,,,
8,wademcleod@updat.com,"fugiat,duis,exercitation",,,,
9,bakerwatson@geekosis.com,"Lorem,cupidatat",,,,
